name,time,payload,value
CurrentTemp,1668723889334531239,,38.32
CurrentTemp,1668725689231536816,,37.51
CurrentTemp,1668727489260221342,,36.39
CurrentTemp,1668729289409113439,,35.85
CurrentTemp,1668731089422520518,,34.92
CurrentTemp,1668732889707741121,,33.26
CurrentTemp,1668734690456983044,,31.78
CurrentTemp,1668736489690745522,,31.01
CurrentTemp,1668738289601203358,,29.21
CurrentTemp,1668740092652141403,,28.81
CurrentTemp,1668740200395575750,,28.87
CurrentTemp,1668742001074954773,,28.83
CurrentTemp,1668743800988890125,,29.17
CurrentTemp,1668745600770518477,,28.6
CurrentTemp,1668747401664024922,,28.27
CurrentTemp,1668749201124676925,,28.08
CurrentTemp,1668751000467790690,,27.57
CurrentTemp,1668752800455976081,,26.73
CurrentTemp,1668754600466923374,,26.31
CurrentTemp,1668756400532068601,,25.21
CurrentTemp,1668758200735012363,,24.39
CurrentTemp,1668760000575128093,,23.45
CurrentTemp,1668761800622184251,,22.64
CurrentTemp,1668763600534779346,,21.97
CurrentTemp,1668765400558438897,,21.16
CurrentTemp,1668767200558719775,,20.82
CurrentTemp,1668769000624139426,,20.21
CurrentTemp,1668770800569056254,,19.45
CurrentTemp,1668772600526396213,,18.86
CurrentTemp,1668774400658251017,,18.61
CurrentTemp,1668776201683652265,,18.23
CurrentTemp,1668778000649785297,,18.07
CurrentTemp,1668779800550719538,,18.28
CurrentTemp,1668781600792305496,,18.84
CurrentTemp,1668783400618026487,,19.56
CurrentTemp,1668785200967059983,,19.74
CurrentTemp,1668787001203704113,,21.34
CurrentTemp,1668788800876121153,,22.48
CurrentTemp,1668790600952515780,,23.43
CurrentTemp,1668792400865158607,,24.85
CurrentTemp,1668794200692172746,,25.45
CurrentTemp,1668796000874176838,,25.83
CurrentTemp,1668797800780235740,,26.85
CurrentTemp,1668799600738376244,,27.43
CurrentTemp,1668801400860130071,,27.61
CurrentTemp,1668803200761122181,,28.06
CurrentTemp,1668805000692505133,,27.63
CurrentTemp,1668806801007338544,,27.99
CurrentTemp,1668808600733231572,,27.45
CurrentTemp,1668810400834204708,,26.71
CurrentTemp,1668812201083247143,,25.45
CurrentTemp,1668814000752289788,,24.33
CurrentTemp,1668815801008698546,,23.31
CurrentTemp,1668817600754426283,,22.37
CurrentTemp,1668819400802842083,,20.66
CurrentTemp,1668821200700538656,,20.08
CurrentTemp,1668823001527529424,,19.29
CurrentTemp,1668824800803110409,,19.06
CurrentTemp,1668826601754845916,,18.91
CurrentTemp,1668828401916661432,,18.46
CurrentTemp,1668830201074947230,,18.25
CurrentTemp,1668832000927517197,,18.12
CurrentTemp,1668833800868485571,,18.34
CurrentTemp,1668835600771748359,,18.43
CurrentTemp,1668837400821477012,,18.36
CurrentTemp,1668839200873584053,,18.79
CurrentTemp,1668841000762874597,,18.84
CurrentTemp,1668842800787685137,,18.64
CurrentTemp,1668844600722058649,,18.97
CurrentTemp,1668846400690217128,,19.26
CurrentTemp,1668848200755236464,,19.38
CurrentTemp,1668850000740827419,,19.27
CurrentTemp,1668851800906931722,,19.08
CurrentTemp,1668853600853648660,,19.08
CurrentTemp,1668855400717905888,,19.42
CurrentTemp,1668857200886029736,,19.65
CurrentTemp,1668859000918838680,,19.99
CurrentTemp,1668860800765842951,,20.5
CurrentTemp,1668862600705005631,,19.98
CurrentTemp,1668864401056614566,,21.4
CurrentTemp,1668866200827935642,,22.8
CurrentTemp,1668868000922628225,,24.35
CurrentTemp,1668869800892002129,,26.55
CurrentTemp,1668871600949475387,,29.1
CurrentTemp,1668873400818712489,,30.54
CurrentTemp,1668875201120791806,,31.91
CurrentTemp,1668877000865615389,,32.9
CurrentTemp,1668878800825981247,,33.62
CurrentTemp,1668880600840524856,,33.87
CurrentTemp,1668882400973361364,,34.36
CurrentTemp,1668884200939962982,,34.65
CurrentTemp,1668886001082277584,,34.77
